数据库：年度数据
时间：最近20年
指标,2015年,2014年,2013年,2012年,2011年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
女性人口数(人口抽样调查)(人),10395195,548391,545005,548307,558170,573115,580182,585999,588363,8400884,615898,617098,616197
0-4岁女性人口数(人口抽样调查)(人),575117,29506,29218,29287,29583,27018,27057,26833,27436,407393,27784,28468,
5-9岁女性人口数(人口抽样调查)(人),536190,28807,28556,28057,28037,28296,29088,30927,31646,483660,34788,36934,
10-14岁女性人口数(人口抽样调查)(人),504836,26671,26422,27475,28772,33610,36717,38936,41079,631770,48850,53021,
15-19岁女性人口数(人口抽样调查)(人),539299,30136,32538,35005,38322,39345,43329,46481,49542,694399,52676,49720,
20-24岁女性人口数(人口抽样调查)(人),745694,43894,46446,49709,53323,43636,40883,40081,38889,536796,40440,40569,
25-29岁女性人口数(人口抽样调查)(人),985108,49044,46443,44679,44282,37803,38920,39510,38242,571055,44959,47263,
30-34岁女性人口数(人口抽样调查)(人),778959,40768,40691,41047,40240,39901,41400,44130,47580,734887,58944,61628,
35-39岁女性人口数(人口抽样调查)(人),738538,40032,41277,43530,47325,53461,55269,58270,57920,838354,61084,61323,
40-44岁女性人口数(人口抽样调查)(人),892759,49873,50753,52620,52585,56494,57072,58198,58505,742898,50038,44727,
45-49岁女性人口数(人口抽样调查)(人),945069,48795,48245,48748,49419,46719,42640,38140,38247,571720,44289,46561,
50-54岁女性人口数(人口抽样调查)(人),797433,38439,34178,30362,30383,41893,45668,45858,44964,614170,42563,40584,
55-59岁女性人口数(人口抽样调查)(人),586543,32628,34827,35267,35453,39522,38260,36243,33737,445014,30316,28071,
60-64岁女性人口数(人口抽样调查)(人),606510,30826,29026,27499,26020,27342,25929,25050,23939,325791,23333,22678,
65-69岁女性人口数(人口抽样调查)(人),425407,21137,19638,18851,17990,19837,19361,19554,19536,277929,19952,20737,
70-74岁女性人口数(人口抽样调查)(人),286765,14606,14157,14234,14432,16234,16746,16851,16550,230928,16442,15650,
75-79岁女性人口数(人口抽样调查)(人),215643,11151,11199,11126,11216,11531,11445,10915,10781,154487,10047,10277,
80-84岁女性人口数(人口抽样调查)(人),141534,7302,7011,6719,6640,6616,6490,6352,6221,89978,6082,5695,
85-89岁女性人口数(人口抽样调查)(人),66910,3360,3152,2921,2941,2818,2889,2676,2581,36107,2379,2357,
90-94岁女性人口数(人口抽样调查)(人),21935,1175,1003,955,991,813,830,791,764,11040,759,703,
95岁以上女性人口数(人口抽样调查)(人),4947,241,227,217,216,225,190,206,204,2509,171,134,
注：2005年、2015年为1%人口抽样调查样本数据，其他年份为1‰人口变动调查样本数据。具体抽样比详见出版物中《中国统计年鉴》。
数据来源：国家统计局
